m,p,alpha0,alpha1,rho0,rho1,n,emp.tIe,nconv.rate0,emp.power,nconv.rate1,pred.power
20,4,0.015,0.01,0.15,0.1,40,0.0458,0,0.8174,0,0.813245045
20,4,0.015,0.01,0.3,0.15,40,0.0464,0,0.8182,0,0.813245045
20,4,0.015,0.01,0.5,0.3,40,0.0476,0,0.8166,0,0.813245045
20,4,0.1,0.05,0.15,0.1,36,0.0534,0,0.8092,0,0.807429579
20,4,0.1,0.05,0.3,0.15,36,0.0536,0,0.8078,0,0.807429579
20,4,0.1,0.05,0.5,0.3,36,0.0536,0,0.8062,0,0.807429579
20,8,0.015,0.01,0.15,0.1,20,0.056,0,0.8094,0,0.813245045
20,8,0.015,0.01,0.3,0.15,20,0.056,0,0.8106,0,0.813245045
20,8,0.015,0.01,0.5,0.3,20,0.0568,0,0.8084,0,0.813245045
20,8,0.1,0.05,0.15,0.1,18,0.052,0,0.8126,0,0.807429579
20,8,0.1,0.05,0.3,0.15,18,0.0524,0,0.8114,0,0.807429579
20,8,0.1,0.05,0.5,0.3,18,0.0552,0,0.811,0,0.807429579
50,4,0.015,0.01,0.15,0.1,16,0.0556,0,0.8114,0,0.813245045
50,4,0.015,0.01,0.3,0.15,16,0.0552,0,0.8096,0,0.813245045
50,4,0.015,0.01,0.5,0.3,16,0.056411282,0.0002,0.8056,0,0.813245045
50,4,0.1,0.05,0.15,0.1,16,0.0552,0,0.8414,0,0.846481721
50,4,0.1,0.05,0.3,0.15,16,0.0562,0,0.839,0,0.846481721
50,4,0.1,0.05,0.5,0.3,16,0.0572,0,0.8334,0,0.846481721
50,8,0.015,0.01,0.15,0.1,8,0.0528,0,0.809161832,0.0002,0.813245045
50,8,0.015,0.01,0.3,0.15,8,0.0538,0,0.807,0,0.813245045
50,8,0.015,0.01,0.5,0.3,8,0.06,0,0.8024,0,0.813245045
50,8,0.1,0.05,0.15,0.1,8,0.0534,0,0.8414,0,0.846481721
50,8,0.1,0.05,0.3,0.15,8,0.055,0,0.839,0,0.846481721
50,8,0.1,0.05,0.5,0.3,8,0.061,0,0.8346,0,0.846481721
