"m","p","alpha0","alpha1","rho0","rho1","n","emp.tIe","nconv.rate","emp.power","nconv.rate.p","pred.power"
20,4,0.015,0.01,0.15,0.1,44,0.053,0,0.8056,0,0.812715468667347
20,4,0.015,0.01,0.3,0.15,44,0.0526,0,0.8064,0,0.812715468667347
20,4,0.015,0.01,0.5,0.3,44,0.0532,0,0.8062,0,0.812715468667347
20,4,0.1,0.05,0.15,0.1,76,0.0552,0,0.791,0,0.807429578813821
20,4,0.1,0.05,0.3,0.15,76,0.055,0,0.7912,0,0.807429578813821
20,4,0.1,0.05,0.5,0.3,76,0.0544,0,0.7924,0,0.807429578813821
20,8,0.015,0.01,0.15,0.1,22,0.0606,0,0.8058,0,0.812715468667347
20,8,0.015,0.01,0.3,0.15,22,0.0612,0,0.8052,0,0.812715468667347
20,8,0.015,0.01,0.5,0.3,22,0.0634,0,0.8044,0,0.812715468667347
20,8,0.1,0.05,0.15,0.1,38,0.0514,0,0.8038,0,0.807429578813821
20,8,0.1,0.05,0.3,0.15,38,0.0512,0,0.8032,0,0.807429578813821
20,8,0.1,0.05,0.5,0.3,38,0.0508,0,0.8024,0,0.807429578813821
50,4,0.015,0.01,0.15,0.1,20,0.0544,0,0.8172,0,0.812080204889232
50,4,0.015,0.01,0.3,0.15,20,0.0562,0,0.8154,0,0.812080204889232
50,4,0.015,0.01,0.5,0.3,20,0.0574,0,0.8148,0,0.812080204889232
50,4,0.1,0.05,0.15,0.1,54,0.0462590506838294,0.00560000000000005,0.799557254980881,0.00619999999999998,0.804566282015391
50,4,0.1,0.05,0.3,0.15,54,0.0465256797583082,0.00700000000000001,0.797340854149879,0.00719999999999998,0.804566282015391
50,4,0.1,0.05,0.5,0.3,54,0.0473599355098751,0.00760000000000005,0.799637169925418,0.00780000000000003,0.804566282015391
50,8,0.015,0.01,0.15,0.1,10,0.0584,0,0.8048,0,0.812080204889232
50,8,0.015,0.01,0.3,0.15,10,0.0608,0,0.8042,0,0.812080204889232
50,8,0.015,0.01,0.5,0.3,10,0.0652,0,0.8014,0,0.812080204889232
50,8,0.1,0.05,0.15,0.1,28,0.0529935275080906,0.0112,0.814410038453754,0.0118,0.818524459108097
50,8,0.1,0.05,0.3,0.15,28,0.0551403756816805,0.00980000000000003,0.813408723747981,0.00960000000000005,0.818524459108097
50,8,0.1,0.05,0.5,0.3,28,0.0560823078474884,0.00860000000000005,0.812940939326749,0.00780000000000003,0.818524459108097
