"m","p","alpha0","alpha1","rho0","rho1","unadjusted_alpha0","unadjusted_alpha1","n","emp.tIe","nconv.rate","emp.power","nconv.rate.p","pred.power"
20,4,0.015,0.01,0.15,0.1,0.0279661016949153,0.0186440677966102,52,0.0462,0,0.8056,0,0.81292761811381
20,4,0.015,0.01,0.3,0.15,0.0423728813559322,0.0234463276836158,60,0.0442,0,0.8302,0,0.813083211879106
20,4,0.015,0.01,0.5,0.3,0.0615819209039548,0.0378531073446328,62,0.055,0,0.8012,0,0.80415690760497
20,4,0.1,0.05,0.15,0.1,0.104802259887006,0.0548022598870056,84,0.0528,0,0.7966,0,0.808063107172076
20,4,0.1,0.05,0.3,0.15,0.119209039548023,0.0596045197740113,90,0.0516,0,0.7992,0,0.800033501660845
20,4,0.1,0.05,0.5,0.3,0.138418079096045,0.0740112994350283,94,0.0516,0,0.8046,0,0.802806396467586
20,8,0.015,0.01,0.15,0.1,0.0279661016949153,0.0186440677966102,26,0.051,0,0.8112,0,0.81292761811381
20,8,0.015,0.01,0.3,0.15,0.0423728813559322,0.0234463276836158,30,0.0592,0,0.8148,0,0.813083211879106
20,8,0.015,0.01,0.5,0.3,0.0615819209039548,0.0378531073446328,32,0.0564,0,0.8208,0,0.816373478679327
20,8,0.1,0.05,0.15,0.1,0.104802259887006,0.0548022598870056,42,0.0568,0,0.8032,0,0.808063107172076
20,8,0.1,0.05,0.3,0.15,0.119209039548023,0.0596045197740113,46,0.0504302581548929,0.000600000000000045,0.811248999199359,0.000800000000000023,0.808586666491981
20,8,0.1,0.05,0.5,0.3,0.138418079096045,0.0740112994350283,48,0.0498598317981578,0.00119999999999998,0.818418418418418,0.001,0.810960655422873
50,4,0.015,0.01,0.15,0.1,0.0279661016949153,0.0186440677966102,26,0.0546,0,0.8094,0,0.81556220899161
50,4,0.015,0.01,0.3,0.15,0.0423728813559322,0.0234463276836158,34,0.052,0,0.8058,0,0.810847770170086
50,4,0.015,0.01,0.5,0.3,0.0615819209039548,0.0378531073446328,38,0.0554,0,0.8156,0,0.811406209977322
50,4,0.1,0.05,0.15,0.1,0.104802259887006,0.0548022598870056,60,0.0503773200081583,0.0194,0.807715860379669,0.0202,0.80681705219404
50,4,0.1,0.05,0.3,0.15,0.119209039548023,0.0596045197740113,68,0.0465641025641026,0.025,0.803611738148984,0.0254,0.805496198916979
50,4,0.1,0.05,0.5,0.3,0.138418079096045,0.0740112994350283,72,0.0539523212045169,0.0436,0.803810720268007,0.0448,0.806086668406053
50,8,0.015,0.01,0.15,0.1,0.0279661016949153,0.0186440677966102,14,0.0512,0,0.8342,0,0.842909781575155
50,8,0.015,0.01,0.3,0.15,0.0423728813559322,0.0234463276836158,18,0.057,0,0.8242,0,0.832323887539034
50,8,0.015,0.01,0.5,0.3,0.0615819209039548,0.0378531073446328,20,0.0562112422484497,0.000199999999999978,0.822729091636655,0.000399999999999956,0.830703244938567
50,8,0.1,0.05,0.15,0.1,0.104802259887006,0.0548022598870056,30,0.0550327332242226,0.0224,0.808462796402289,0.0216,0.80681705219404
50,8,0.1,0.05,0.3,0.15,0.119209039548023,0.0596045197740113,34,0.0541658052511888,0.0326,0.801693864903945,0.0318000000000001,0.805496198916979
50,8,0.1,0.05,0.5,0.3,0.138418079096045,0.0740112994350283,36,0.0579408086702793,0.0404,0.800291849072337,0.0406,0.806086668406053
